Inputs,True Keywords,True Keywords in Abstract,Predictions
"Research on strategic leadership has proliferated for a long time. However, very little work has been conducted to investigate this issue from a cross-cultural perspective. To fill this gap, we first review recent findings on strategic leadership in different cultural backgrounds. Then, based on the upper echelons theory, we summarize what researchers have found regarding the effects of personal characteristics of strategic leaders on firm performance in terms of observed personal experience, personality, values, cognitive style, and leadership behaviors. Furthermore, we generate some future research directions focusing on concepts, theories, and also methodological issues of strategic leadership across cultures. We consider how research across different cultures will enrich our understanding of strategic leadership and unfold the black box of why and how strategic leaders have positive effects on firm level performance. Finally, practical implications for managers are considered. (C) 2012 Elsevier Inc.. All rights reserved.","['Strategic leadership', 'Cross culture', 'Upper echelons theory', 'Current findings', 'Future research directionsTRANSFORMATIONAL LEADERSHIP', 'TOP-MANAGEMENT', 'CHARISMATIC LEADERSHIP', 'UPPER-ECHELONS', 'UNITED-STATES', 'SELECTIVE PERCEPTION', 'CORPORATE-STRATEGY', 'SELF-EVALUATIONS', 'MULTIPLE LEVELS', 'MODERATING ROLE']","['strategic leadership', 'strategic leadership', 'cross culture', 'cross culture', 'upper echelons theory', 'upper echelons theory', 'upper echelons theory', 'upper echelons', 'upper echelons']",strategic leadership upper echelons
"Evolving tastes can change the relative importance of product features in shaping consumers' purchase decisions, which in turn can shift the relative attractiveness of products with different feature levels. The challenge lies in finding a reliable yet cost-effective way to monitor the weights consumers place on various product features. In the context of the U.S. automotive market, the authors explore the potential of using trends in online searches for feature-related keywords as indicators of trends in the relative importance of the corresponding features (e.g., fuel economy, acceleration, cost to buy, cost to operate, body type). By augmenting marketing-mix data with feature search data in a market response model, they show substantial improvements in goodness-of-fit both in and out of sample. The authors find empirical support for the hypothesis that feature search trends are positively correlated with feature importance trends. They discuss how managers may make better decisions by monitoring feature search trends and leveraging those trends strategically.","['Google trends', 'market response model', 'product feature', 'conjoint analysis', 'big dataCONSUMER INFORMATION', 'EXTERNAL SEARCH', 'IMPACT', 'INTERNET', 'SALES', 'PRICES', 'CHOICE']","['market response model', 'market response model', 'market response model', 'product feature', 'product feature']",online marketing mix model
"The authors explore whether and why business-to-business customers using service relationship designs-service delivery systems that promote repeated personal interactions between a customer and a specific service provider-will adopt self-service technology (SST). Their results show that these customers associate operational performance gains and relational performance losses with a prospective SST Whereas perceived operational performance gains increase customers' intention to adopt SST perceived relational performance losses decrease it. However these main effects are moderated by customers' purchase frequency and their enacted service design, which refers to the way that customers actually experience firms' intended service designs. Specifically, the positive effect of perceived operational performance gains on customers' intention to adopt SST was weaker for customers with higher purchase frequency. Similarly, the negative effect of perceived relational performance losses on customers' intention to adopt SST was strongest for customers who had enacted strong service relationships.","['self-service technology', 'service relationships', 'technology adoptionPERCEIVED USEFULNESS', 'INFORMATION TECHNOLOGY', 'ACCEPTANCE MODEL', 'CONSUMER', 'EASE', 'SATISFACTION', 'BENEFITS', 'LOYALTY']","['self service technology', 'self service technology', 'self service technology', 'service relationships', 'service relationships', 'ease']",relationship designs self service technology
"Organizational downsizing to cut costs frequently creates new, hidden costs that neutralize potential increases in productivity. Customer dissatisfaction is such an overlooked downsizing outcome. Using longitudinal data from the American Customer Satisfaction Index (ACSI), Compustat, and a consumer survey this study analyzes satisfaction outcomes of downsizing. It extends research in this domain to B2C markets and explicitly addresses environmental influences on the downsizing-satisfaction link. Results indicate that there is a negative effect of downsizing on customer satisfaction. It is particularly pronounced for companies (1) with little organizational slack, (2) with high labor productivity, or (3) in industries with high R&D intensity. Moreover, downsizing has a stronger negative impact on customer satisfaction in product categories with (4) high risk importance and (5) low probability for consumer errors as well as (6) low level of brand consciousness. Furthermore, customer satisfaction mediates the effect of downsizing on financial performance. The results provide an explanation for why so many downsizing projects fail and what managers can do to prevent adverse effects of downsizing on customer satisfaction and financial performance.","['Customer satisfaction', 'Organizational downsizing', 'Firm performance', 'Panel data analysisPANEL-DATA', 'PERFORMANCE', 'LAYOFFS', 'IMPACT', 'BRAND', 'WORK', 'SURVIVORS', 'PRODUCTIVITY', 'STRATEGIES', 'TURNOVER']","['customer satisfaction', 'customer satisfaction', 'organizational downsizing', 'organizational downsizing', 'performance', 'impact', 'brand', 'productivity']",downsizing productivity customer dissatisfaction organizational slack impact brand consciousness performance
"Retailing in the 21st century will no doubt be very different from retailing in the 20th century, just as retailing in the 20th century was very different from retailing in the 19th century. To understand and explain current retailing phenomena and retailing-related phenomena, and accurately predict such phenomena, it is necessary to have a coherent and consistent definition of retailing as well as comprehensive retailing theories based on this definition. This introduction to the special issue argues for such a definition and related comprehensive theories. (C) 2002 by New York University. All rights reserved.","['retailing definition', 'retailing theories', 'retailing predictionsCONSUMER']","['retailing theories', 'retailing theories']",retailing retailing
"Work interruptions are ubiquitous in today's workplaces as a result of the proliferation of technology and a growing emphasis on collaboration and open workspaces. Although a large body of research on interruptions has accumulated over the last two decades, this research is scattered across disciplines with little integration. While this fragmentation indicates the complex nature of interruptions, it has also led to inconsistencies in how interruptions are defined and studied. Such differences reduce generalizability of results, lead to conflicting findings, and hinder knowledge development. We present here an integrative review of prior research on work interruptions based on an analysis of 247 publications. As part of the review, we examine prior definitions of interruption and advance a new integrative definition that can anchor a range of future research. We also discuss and summarize the assumptions and implications of the different investigative approaches used to study interruptions. An awareness of these approaches can help scholars better align their theory and investigative approach to adequately capture constructs/relationships of interest. We then synthesize theory and research, across disciplines, to present a process-based model that comprehensively captures our current understanding of how, when, and why work interruptions affect employees in different ways. Lastly, we highlight several avenues in need of more research attention and provide recommendations on how to advance the work interruption literature ahead meaningfully. Our review can act as an important reference for scholars new to interruption research, as well as for established interruption researchers looking to move their research in new directions.","['work interruption', 'task interruption', 'distraction', 'disruption', 'intrusionPROSPECTIVE MEMORY', 'TASK-INTERRUPTION', 'WORKPLACE INTERRUPTIONS', 'INFORMATION OVERLOAD', 'EMAIL INTERRUPTIONS', 'ATTENTION RESIDUE', 'DECISION-MAKING', 'TIME PRESSURE', 'HEALTH-CARE', 'PERFORMANCE']","['work interruption', 'work interruption']",workplaces workspaces
"Research summary: Recent research rooted in the resource-based view of the firm suggests that resources are more likely to create value if they are effectively managed. An underlying assumption of the literature is that firms manage their resources on their own. However, many firms hire consultants to help them do so. In this study, I develop and test hypotheses regarding the impact of technical consultants on the quality of their clients' products. Using data from the Bordeaux wine industry, I find evidence that the use of technical consultants has a positive impact on relative product quality and a negative impact on the extremeness of relative product quality. Moreover, the positive impact of technical consultants on relative product quality is stronger at lower levels of relative resource quality.Managerial summary: Findings from a study in the Bordeaux wine industry indicate that the decision to hire consultants should depend on a firm's strategy. If a firm wants to improve its performance, it should hire consultants. Indeed, the best practices of technical consultants are generally more valuable than internally generated knowledge. If a firm wants to achieve outstanding performance, hiring consultants may not be the right decision. Because the best practices of technical consultants have more certain performance implications than internally generated knowledge, they decrease the likelihood of extremely low performance. However, their lack of uniqueness also decreases the likelihood of extremely high performance. Finally, the decision to hire consultants should depend on the quality of a firm's resources. Firms with low-quality resources tend to benefit more from the best practices of technical consultants. Copyright (c) 2016 John Wiley & Sons, Ltd.","['technical consultants', 'resource-based view of the firm', 'relative product quality', 'relative resource quality', 'wine industryRESOURCE-BASED VIEW', 'COMPETITIVE ADVANTAGE', 'POLITICAL-ECONOMY', 'FIRM RESOURCES', 'STRATEGY', 'MANAGEMENT', 'PERFORMANCE', 'CAPABILITIES', 'PERSPECTIVE', 'MARKET']","['technical consultants', 'technical consultants', 'resource based view of the firm', 'resource based view of the firm', 'resource based view of the firm', 'resource based view of the firm', 'resource based view of the firm', 'resource based view of the firm', 'relative product quality', 'relative product quality', 'relative product quality', 'relative resource quality', 'relative resource quality', 'relative resource quality', 'strategy', 'performance']",resource based view firm
"Although much of the existing research on employee sabotage and deviance focuses on the manufacturing sector studies have also found evidence of deliberate employee misbehavior in a variety of service settings. In this study, the authors conceptualize and test a model of service sabotage dynamics that incorporates both the antecedents and the consequences of such behaviors. In doing so, the study contributes contemporary empirical evidence of factors associated with the deliberate sabotage of service by frontline customer-contact personnel. Using a survey-based approach, the authors collected data from 259 respondents from a sample of 1,000 respondents. The findings largely support the hypothesized antecedents of service sabotage and show that a range of individual characteristics, management control efforts, and perceived labor market conditions are linked with service sabotage. Furthermore, the analysis suggests that service sabotage behaviors are associated with individual and group rewards, effects for customers, and other performance measures.","['service sabotage', 'employee deviance', 'service dysfunction', 'frontline employees', 'customer-contact employeesCONFIRMATORY FACTOR-ANALYSIS', 'FIT INDEXES', 'MANAGEMENT', 'CULTURE', 'EMPLOYEES', 'STRATEGY', 'ORIENTATION', 'PERSONALITY', 'COMMITMENT', 'RESISTANCE']","['service sabotage', 'service sabotage', 'management']",model performance
"Mass customization has received considerable interest among researchers. However, although many authors have analyzed this concept from different angles, the question of which factors can be used to spot customers most likely to adopt a mass-customized product has not been answered to a satisfactory extent until now. This article explicitly deals with this question by focusing on factors related to the base category, which is defined as the group of all standardized products within the same product category as the mass-customized product under investigation. Specifically, this article investigates the influence of a customer's base category consumption frequency and need satisfaction on the decision to adopt a mass-customized product within this base category. A set of competing hypotheses regarding these influences is developed and subsequently evaluated by a combination of partial least squares and latent class analysis. This is done by using a sample of 2,114 customers surveyed regarding their adoption of an individualized printed newspaper. The results generated are threefold: First, it is shown that there is a significant direct influence of base category consumption frequency and need satisfaction on the behavioral intention to adopt. The more frequently a subject consumes products out of the base category or the more satisfied his or her needs are due to this consumption, the higher the behavioral intention to adopt a mass-customized product within this base category. Second, the article provides an indication that base category consumption frequency has a significant moderating effect when investigating the behavioral intention to adopt in the context of the theory of reasoned action and the technology acceptance model. The more frequently a subject consumes products out of the base category, the more important will be the impact of perceived ease of use mediated by perceived usefulness. Finally, this article shows that different latent classes with respect to unobserved heterogeneity regarding the latent variables base category need satisfaction or dissatisfaction have significantly different adoption behaviors. Individuals who show a high level of need dissatisfaction are less interested in the ease of use of a mass-customized product than its usefulness (i.e., increase in need satisfaction). On the other hand, subjects who have a high degree of base category need satisfaction base their adoption decision mainly on the ease of use of the mass-customized product. These results are of managerial relevance regarding the prediction of market reactions and the understanding of the strategic use of product-line extensions based on mass-customized products. This work provides an indication that base category consumption frequency and need satisfaction positively influence the behavioral intention to adopt a mass-customized product. Hence, mass customization can be seen as one way to deepen the relationship with existing clients.","['nanSTRUCTURAL EQUATION MODELS', 'INFORMATION-TECHNOLOGY', 'USER ACCEPTANCE', 'INVOLVEMENT', 'TOOLKITS', 'TRUST', 'HETEROGENEITY', 'COMMITMENT', 'INNOVATION', 'DESIGN']",['heterogeneity'],customers frequency satisfaction
"The purpose of this paper is to define and explain the front end of product innovation as a discrete segment of development between research and product development. The Valley of Death is used as a metaphor to describe the relative lack of resources and expertise in this area of development. The metaphor suggests that there are relative more resources on one side of the valley in the form of research expertise and on the other side by commercialization expertise and resources. Within this valley a set of interlocking roles are examined that move projects from one side to the other. The empirical methodology used in this study gathered data from 272 Product Development & Management Association (PDMA) members with extensive experience in the front end of product development using a Web-based survey instrument. Extensive pretests with experienced practitioners were conducted to develop the instrument. Results indicate that significant development takes place before projects enter into a firm's formal product development process. The data also support the roles of champion, sponsor, and gatekeeper as major actors that work together to develop and promote projects for introduction into the formal process. Champions make the organization aware of opportunities by conceptualizing the idea and preparing business cases. Sponsors support the development of promising ideas by providing resources to demonstrate the project's viability. Gatekeepers set criteria and make acceptance decisions. The data also reveal a dynamic interdependence between role players. It is concluded that the Valley of Death is a productive tool for identifying and understanding a critical area of development that has not been adequately addressed. This research finds a dynamic interplay between roles to accomplish tasks that are not well understood in practice or the literature. The implications of this research are far-ranging. It suggests that companies must understand the challenges in the valley, must develop the skills, and must make resources available to master the front end of product innovation. Recognizing roles, providing resources, and establishing expectations and accountability in this area of development become manageable in light of these results. Theoretically, this research informs role theory of a dynamic set of relationships previously treated as static. It also empirically investigates an area of product development where there is limited data. This paper opens profitable inquiries by focusing on an area of development not adequately researched yet drives the activities and investment made in subsequent steps of product development.","['nanRESEARCH-AND-DEVELOPMENT', 'FUZZY FRONT-END', 'SINGLE-ITEM', 'BUSINESS INCUBATORS', 'MULTIPLE-ITEM', 'COMMUNICATION', 'PERSPECTIVE', 'CHAMPIONS', 'BOUNDARY', 'BEHAVIOR']",['champions'],innovation
"This paper examines whether organizations with different collectivized agency arrangements have different survival prospects. We propose that the structure of monitoring and incentive systems determines the agency costs of collectivized agencies and, in turn, their vulnerability to competition and environmental variability. The paper focuses on mutual and stock savings and loan associations (SLAs) and, notes that stock SLAs have superior monitoring, incentive systems, and capital structures in comparison with mutual SLAs. An analysis of 900 SLAs founded during 1960-1987 indicates that mutual companies were more vulnerable than stock companies to competition from commercial banks, but there was no conclusive evidence that mutuals were more susceptible to environmental variability than stocks were. The results also show that deregulation sharply attenuated the agency advantages of stocks, implying that agency-cost advantages may be constrained by institutional processes.","['nanOWNERSHIP STRUCTURE', 'FIRM', 'ORGANIZATIONS', 'COSTS']","['organizations', 'costs']",savings loan associations
"Key account management (KAM) is a rapidly growing area of interest in business-to-business marketing. However unnoticed by marketing, a quiet revolution has taken place in supply chain management (SCM), where the traditional emphasis on least-cost transactions has given way to a focus on long-term relationships with a few key suppliers. It is thus apparent that the two disciplines are converging. This article uses a cross-disciplinary approach to explore whether these developments from the field of SCM provide insights into key business-to-business relationships. A detailed case study of a long-term relationship between a business-to-business services provider and a key customer in the construction industry suggests there is a definable overlap. The supply chain model illuminates five important elements of KAM and offers a promising method for the evaluation of such relationships. As a result of the research, both supplier and customer companies implemented actions to improve and strengthen this important relationship.","['business-to-business services', 'supply chain management', 'key account management', 'collaborationnan']","['business to business services', 'business to business services', 'business to business services', 'business to business services', 'supply chain management', 'supply chain management', 'supply chain management', 'key account management', 'key account management', 'key account management']",key account management business marketing supply chain management construction industry
"This paper examines the relationship between purpose and purposeful organizing and how such arrangements influence the entrepreneurial journey as sustainable ventures move from idea to markets. We leverage an iterative multi-stage process-tracing design to understand the mechanisms whereby 14 different B Corp certified organizations embed purpose before, during and after the certification process. Our analyses reveal three types of venture paths for purpose-driven entrepreneurs, which are shaped by distinct imprinting sequences with three critical sensitive windows playing a pivotal role: the definition of scope of purpose, timing of purpose formalization through B Corp Certification and shifts in the source of feedback. Different imprinter; occurring within the critical sensitive windows shape particular imprinting sequences triggering situations of both productive and counterproductive path development. Our results challenge the assumed linear relationship between purpose and purposeful organizing and more specifically the belief that seeking (purposeful) B Corp certification at firm foundation is necessarily productive for society and for the ventures themselves regardless of when the certification is achieved.","['Purpose', 'Sustainable entrepreneurship', 'B Corps', 'Imprinting', 'Sensitive windows', 'Process-tracing researchHYBRID ORGANIZATIONS', 'SOCIAL ENTERPRISES', 'IMPACT']","['purpose', 'imprinting', 'sensitive windows', 'sensitive windows']",process tracing certification purpose driven entrepreneurs imprinting certification
"This paper addresses theoretical gaps in the relationships among decision maker agreement, social context, and performance. Agreement is considered a multidimensional construct that is embedded in a social context of intergroup relationships. Four dimensions of agreement are specified: (1) perceived agreement, (2) actual agreement, (3) accuracy, and (4) agreement with one's own organization. Understood this way, agreement is associated with success expectations. Empirical tests of hypotheses derived from this view are based on data concerning agreement on acquisition goals by the top management teams from two hospitals in the year following an acquisition. Results support a multidimensional view of agreement, the importance of the intergroup context, and the association of agreement and expectations for success.","['AGREEMENT', 'ACQUISITIONS', 'INTERGROUP', 'IMPLEMENTATION', 'HOSPITALSSTRATEGY FORMULATION', 'SOCIAL IDENTITY', 'CONSENSUS', 'ORGANIZATIONS', 'NETWORKS', 'BEHAVIOR', 'OUTCOMES', 'MERGERS']","['agreement', 'intergroup']",performance
"Based on the social capital, conflict, and ethics literatures, this study introduces a new concept, the family point of view, and provides theoretical arguments resulting in the following hypotheses: (a) The family point of view emerges from collaborative dialogue, which helps develop agreement to ethical norms; (b) the presence of ethical norms further helps cultivate family social capital; and (c) as a resource in a family business, family social capital is positively related to family firm performance. Using structural equation modeling, an exploratory test of 405 small family firms found support for all three hypotheses. The findings indicate a fully mediated relationship among collaborative dialogue, ethical norms, family social capital, and firm performance. The study not only highlights the importance of moral infrastructure in family firms but also helps clarify components of family social capital.","['ethics', 'social capital', 'dialogue', 'collaboration', 'morality', 'family enterpriseUNIFIED SYSTEMS PERSPECTIVE', 'OWNERSHIP', 'BUSINESS']","['ethics', 'social capital', 'social capital', 'dialogue', 'business']",conflict business
"Acquisitions often occur in waves within industries. We extend the theoretical understanding of such waves by drawing upon research on early mover advantage and bandwagon effects to develop arguments regarding the likely performance potential of participating at different points in an acquisition wave. In line with our theoretical model, we find acquisition performance is higher for early movers but lower for acquirers that participate at the height of the acquisition wave. Although we find this general performance trend, our findings suggest both industry and acquirer characteristics influence the degree to which firms seize early mover advantages or fall prey to bandwagon pressures.","['nanCORPORATE TAKEOVER BIDS', 'DECISION-MAKING', 'STOCK RETURNS', '1ST-MOVER', 'IMPACT', 'EXPERIENCE', 'FIRMS', 'INFORMATION', 'STRATEGIES', 'RESOURCES']",['firms'],performance model
"Research Summary: This article examines the adaptation process of a large manufacturer in the Indian steel industry faced with radical sociopolitical shifts in the external ecosystem. It uses the Bower-Burgelman process model in combination with Bourdieu's praxis theory to explain the emergence of competing managerial initiatives and associated contests in the company's internal ecology of strategy-making in terms of socially acquired dispositions. It illuminates process-practice pathways through which top management's resource allocation supported changes in the efficacy of the different forms of capital of the contesting managerial classes, thereby legitimizing the daily doings of the rising class and institutionalizing a (re)defined adaptive rule structure. Managerial Summary: How do managers' early influences, including family upbringing and schooling, bear upon organization's renewal strategy? Our study finds that during discontinuities imposed by socioeconomic upheavals, when organizational performance flounders, managerial initiatives are driven by deepest dispositions derived from early age socialization. Competing managerial fractions jostle to impose practices favorable to their longstanding preferences by putting their weight behind preferred product-market choices and seeking appropriate changes in the ineffective internal rule structure. Administration's challenge lies in leveraging internal contests to iteratively allocate resources in search of winning dispositions and configurations aligned with evolving social relations in the external environment. Internal availability of managerial groups from diverse social origins is crucial for the administration to reclaim organizational advantage by arbitrating between contesting practices and practitioner fortunes.","[""Bourdieu's practice theory"", 'Bower-Burgelman process framework', 'habitus', 'organizational renewal', 'resource allocationECONOMIC LIBERALIZATION', 'PERSPECTIVE', 'MODEL', 'INDIA', 'RISE']","['model', 'india']",model performance
"Entrepreneurial team scholars highlight the importance of studying entrepreneurial team cognition in gaining a better understanding of why some entrepreneurial teams are capable of developing teamwork leading to successful entrepreneurial outcomes while others are not. However, in the absence of a clear definition of entrepreneurial team cognition, researchers continue to employ a vast diversity of potentially related concepts. To bring clarity to this fragmented area of research, the authors performed a systematic literature review of papers concerned with entrepreneurial team cognition published in the leading management and entrepreneurship journals over the past 20 years. This review was guided by two main research questions: (a) what is entrepreneurial team cognition, and (b) how does entrepreneurial team cognition interact with inputs, processes and outcomes. Based on the published literature, key properties of the concept are identified, and an overarching definition of entrepreneurial team cognition composed of these properties is introduced. Next, the review outlines how entrepreneurial team cognition interacts with other variables within a comprehensive input-mediator-output framework. Finally, the review addresses how future research can build on the proposed definition and framework to advance the theoretical depth and empirical investigation of entrepreneurial team cognition.","['nanTOP MANAGEMENT TEAMS', 'STRATEGIC DECISION-PROCESSES', 'SHARED MENTAL MODELS', 'OF-THE-LITERATURE', 'FOUNDING TEAMS', 'VENTURE PERFORMANCE', 'START-UPS', 'FRAMEWORK', 'KNOWLEDGE', 'NETWORKS']",['framework'],team entrepreneurial team review investigation
"Research summary: In this paper we adopt a core-periphery approach to specify the direct and indirect effects of social capital on organizational performance. We suggest that social capital deriving from stable task relationships between organizational members has a direct positive effect on organizational performance. Said effect depends, in both strength and functional form, on whether actors involved in stable dyads are located at the core or at the periphery of the organization. We also argue that core and peripheral social capital affect performance indirectly by moderating the organization's ability to leverage its human capital to improve performance. Results from a 48-year study of the National Basketball Association support our arguments and bear important implications for strategic human resource practices and organizational performance in competitive settings.Managerial summary: Stable work relationships among employees generate trust, more efficient work routines, common understanding and thus higher organizational performance. These benefits depend on the location of such stable relationships in the organization. Relational stability among core organizational members has an immediate, strong impact on performance, an effect that plateaus as stability grows. Stable relationships between core and peripheral members have instead a weaker, yet linear effect on performance. The location of stable relationships is also critical to leverage the talent of core employees, whose contribution to performance is stronger when relational stability is high in the organizational core, yet hindered by stable relations between core and periphery. Such findings provide relevant implications for strategic human resource management, in particular for choices regarding team composition and managing stars. Copyright (c) 2015 John Wiley & Sons, Ltd.","['social capital', 'social networks', 'relational stability', 'core-periphery', 'human capitalRENT APPROPRIATION', 'TEAM PERFORMANCE', 'STRATEGIC CORE', 'KNOWLEDGE', 'FAMILIARITY', 'EXPERIENCE', 'TIES', 'MICROFOUNDATIONS', 'COORDINATION', 'RESOURCES']","['social capital', 'social capital', 'relational stability', 'relational stability', 'core periphery', 'core periphery']",core periphery social capital organizational performance dyads trust relational stability
"This article documents a bias in people's causal inferences, showing that people nonnormatively consider an event's consequences when inferring its causes. Across experiments, participants' inferences about event causes were systematically affected by how similar (in both size and valence) those causes were to event consequences, even when the consequences were objectively uninformative about the causes. For example, people inferred that a product failure (computer crash) had a large cause (widespread computer virus) if it had a large consequence (job loss) but that the identical failure was more likely to have a smaller cause (cooling fan malfunction) if the consequence was small-even though the consequences gave no new information about what caused the crash. This consequence-cause matching, which can affect product attitudes, may arise because people are motivated to see the world as predictable and because matching is an accessible schema that helps them to fulfill this motivation.","['nanCOMPENSATORY CONTROL', 'ATTRIBUTION PROCESS', 'ATTITUDE FUNCTIONS', 'CONSUMER-BEHAVIOR', 'PERCEPTION', 'MAGNITUDE', 'VICTIM', 'REPRESENTATIVENESS', 'RESPONSIBILITY', 'INFORMATION']",['information'],inferences motivation
"Over the past few decades, cross-border business has experienced unparalleled growth. This growth is due to advances in communication and information technologies, privatization and deregulation in emerging economies, and emergence of the global consumer As the era of globalization continues to manifest through the emergence of global companies, the importance of customer relationship management (CRM) in these companies has become increasingly significant. Global CRM (GCRM) is the strategic application of the processes and practices of CRM by firms operating in multiple countries or by firms serving customers who span multiple countries, which incorporates relevant differences in business practices, competition, regulatory characteristics, country characteristics, and consumer characteristics to CRM strategies to maximize customer value across the global customer portfolio of the firm. In this article, the authors present an overview of the GCRM environment and the challenges in formulation and implementation of CRM across national boundaries as a source of sustained advantage. The authors also provide a conceptual framework for GCRM and recommendations for future research in Global CRM.","['customer value', 'Global CRM', 'loyalty programs', 'cultural issues', 'global environmentMARKET-SEGMENTATION', 'PROGRAMS']","['customer value', 'customer value', 'global crm', 'global crm']",globalization customer relationship management crm global crm gcrm framework
"De-globalization, now a distinct possibility, would induce a significant qualitative shift in strategies, structures, and behaviors observable in international business (IB). Coming to terms with this qualitative shift would require IB research to develop a much deeper integration of politics, the key driver of de-globalization. To support such integration, this paper introduces two relevant theories of (de-)globalization from political science, liberalism and realism. Both predict de-globalization under current conditions but lead to different expectations about the future world economy: liberalism suggests a patchwork of economic linkages, while realism predicts the emergence of economic blocs around major countries. This paper discusses the resulting opportunities in three areas of IB research: political strategies and roles of multinational enterprises (MNEs), global value chains, and the role of the national context. For political strategies and roles, there is a need to explore how regular business activities and deliberate political agency of MNEs affect the political sustainability of globalization. For value chains, questions include their future reach and specialization, changes in organizational forms, and the impact of political considerations on location decisions. Research opportunities on national contexts relate to their ability to sustain globalization and their connection with economic and military power.","['globalization', 'internationalization theory', 'international relations and political science', 'political backlash', 'global institutions', 'trade blocs', 'political strategies', 'global supply chain strategies', 'institutional contextFOREIGN DIRECT-INVESTMENT', 'WORLD', 'INTEGRATION', 'CAPITALISM', 'COEVOLUTION', 'PERFORMANCE', 'STRATEGIES', 'FRAMEWORK', 'POWER', 'MNES']","['globalization', 'political strategies', 'political strategies', 'world', 'integration', 'strategies', 'power', 'mnes']",realism value chains
"Research Summary This paper examines how incumbent firms' market positions and interdependencies across their submarkets influence their responses to entry threats. We adapt a model of capacity deterrence to show that because premium and low-cost incumbents face different demand functions and operating costs, they experience different tradeoffs between ignoring, deterring, and accommodating threatened entry. In addition, the interdependencies within and between a premium incumbent's submarkets influence its responses. Using data on incumbent responses to entry threats from Southwest Airlines between 2003 and 2012, we find that (a) full-service incumbents expanded capacity while low-cost incumbents did not respond significantly, and (b) full-service incumbents expanded capacity less aggressively in submarkets that had less substitutable customer segments and submarkets that were more complementary with their unthreatened submarkets. Managerial Summary An immutable market position is a core competitive advantage. Using data on incumbent responses to entry threats from Southwest Airlines between 2003 and 2012, we find that (a) full-service (FSC) incumbents expanded capacity while low-cost (LCC) incumbents did not respond significantly, and (b) FSCs expanded capacity less aggressively on routes that were expected to have a large number of business passengers and routes that connected to their international hubs. These results suggest two sources of positional immutability: While one set of past choices (e.g., those about submarket substitutability or complementarity) provide a barrier against imitation, another set of past choices (e.g., those about products and costs) generate incentives for a tough defense, both deterring entry by firms from a different position.","['airlines', 'competitive interaction', 'entry deterrence', 'interdependence', 'market positionMULTIMARKET CONTACT', 'INVESTMENT', 'DETERRENCE', 'CAPACITY', 'PERFORMANCE', 'INFORMATION', 'COMPETITION', 'DYNAMICS']","['airlines', 'deterrence', 'capacity']",submarkets responses entry threats deterrence southwest airlines
"Supplier perspective taking, whereby an internal customer adopts the perspective of an internal supplier, was investigated. Two dimensions were assessed: positive attributions and empathy. Supplier perspective taking was associated with team leader ratings of employees' contextual performance. Production ownership and integrated understanding predicted supplier perspective taking and were in turn predicted by job autonomy. Interaction with suppliers contributed to supplier perspective taking directly and indirectly. These findings suggest two ways to enhance supplier perspective taking and hence contextual performance: increase employee interaction with suppliers and enrich job content.","['nanTURNING OBSERVERS', 'HELPING-BEHAVIOR', 'EMPATHY', 'WORK', 'ATTRIBUTION', 'PERFORMANCE', 'MODEL']","['empathy', 'attribution', 'performance']",attributions
"The authors proposed and tested a model linking service-employee attrition, customer-perceived service outcomes, and financial performance utilizing time-lagged data obtained from 64 business units of a temporary help services (staffing) firm. Using the notion of relational assets, the authors predicted that employee attrition (both voluntary turnover and downsizing) would disrupt the existing stock of relationships between customer-facing employees and their customers, which would have negative effects on customer outcomes and future financial performance of business units. The authors found that (a) the relationship between voluntary turnover and customer-perceived service brand image (SBI) was fully mediated by customers' evaluations of service delivery, (b) the relationship between downsizing and SBI was fully mediated by the customer orientation levels of the unit staff, and (c) SBI significantly predicted future unit profitability. These findings point to critical factors that leaders must address when experiencing elevated levels of turnover or considering downsizing. These include focusing on developing customer orientation levels among employees through the effective use of selection, training, performance management, and compensation, minimizing employee voluntary turnover by creating positive work environments, and factoring in the long-term costs of downsizing on the organization's SBI and future profitability.","['employee turnover', 'service brands', 'customer orientationORGANIZATIONAL PERFORMANCE', 'VOLUNTARY TURNOVER', 'BRAND TRUST', 'UNIT', 'TIME', 'SATISFACTION', 'ORIENTATION', 'DETERMINANTS', 'CONSEQUENCES', 'PERCEPTIONS']","['voluntary turnover', 'voluntary turnover', 'unit', 'time', 'orientation']",model voluntary turnover downsizing brand image customer orientation
